text,SNAP,Medicaid,Section8_Housing,TANF,LIHEAP,household_income_pct_fpl,housing_status,citizenship_status,has_dependent_children,has_utility_bills
I work part-time at a grocery store earning about $1608 per month. I am renting a room in a shared house for $654 per month. I live alone. I have been managing arthritis without proper medical care due to cost.,0,1,0,0,0,134,unhoused,citizen,False,False
I recently lost my job at Amazon due to layoffs. I have been unhoused for 10 months and am staying in a shelter. I am a single parent with 1 kids. I am pregnant and currently uninsured. My utility bills take up a large portion of my income.,0,0,0,0,0,188,renting,citizen,True,True
"I am self-employed doing handyman work, my income varies month to month. I have been unhoused for 4 months and am staying in a shelter. My household includes myself, my partner, and our 3 children. My child has depression and needs ongoing medical care. I received a shutoff notice for my gas service.",1,1,1,1,1,43,renting,citizen,True,True
"I work 15 hours a week at grocery store, making $1908 monthly. I own my home but am struggling to keep up with the mortgage. I live with my spouse and 2 children. I am pregnant and currently uninsured. I received a shutoff notice for my gas service.",0,0,0,0,0,159,renting,citizen,True,True
I work part-time at a warehouse earning about $1296 per month. I am renting a room in a shared house for $1558 per month. I am a single parent with 1 kids. I have a chronic condition (depression) that requires regular medication. I am behind on my heating bills by $382. I do not have legal immigration status.,0,0,0,0,1,108,unhoused,undocumented,True,True
"I am self-employed doing rideshare work, my income varies month to month. I am currently renting an apartment for $829 per month. I am a single parent with 2 kids. I have no health insurance. I struggle every month to pay my utility bills on time.",1,1,0,0,1,127,renting,citizen,True,True
"I work 25 hours a week at cleaning service, making $1548 monthly. I recently became homeless after my landlord evicted me. I am caring for my elderly mother who lives with me. I have no health insurance. I am a legal permanent resident and have been in the US for over 5 years.",1,1,0,0,0,129,unhoused,qualified_alien,True,False
I work part-time at a restaurant earning about $1416 per month. I own my home but am struggling to keep up with the mortgage. I have 4 children ages 16. I recently lost my employer-sponsored health insurance.,1,1,0,0,0,118,renting,citizen,True,False
I work part-time at a retail shop earning about $3492 per month. I am staying with family temporarily as I cannot afford my own place. I have 4 children ages 9. I recently lost my employer-sponsored health insurance. I am a legal permanent resident and have been in the US for over 5 years.,0,0,0,0,0,291,staying_with_family,qualified_alien,True,False
"I am self-employed doing handyman work, my income varies month to month. I have been unhoused for 5 months and am staying in a shelter. I live with my partner. I have been managing arthritis without proper medical care due to cost. I struggle every month to pay my utility bills on time.",1,1,1,0,1,48,renting,citizen,False,True
I recently lost my job at Amazon due to layoffs. I am currently renting an apartment for $1081 per month. I live alone. I am pregnant and currently uninsured. My utility bills take up a large portion of my income.,1,1,0,0,1,32,owned,citizen,False,True
I receive disability benefits of $1692 per month and cannot work. I am currently renting an apartment for $1538 per month. I am caring for my elderly grandmother who lives with me. I have a chronic condition (asthma) that requires regular medication. I received a shutoff notice for my gas service.,0,0,0,0,1,141,owned,citizen,True,True
